task_id,service,resource,priority,arrival_ms,start_ms,finish_ms,deadline_ms,execution_ms,scheduler_overhead_ms,queue_delay_ms,response_ms,deadline_missed
object_detection-0000,object_detection,gpu,3,0.0,0.0,24.0,80.0,24.0,0.001906,0.0,24.0,False
monocular_3d_detection-0000,monocular_3d_detection,gpu,4,10.0,24.0,72.0,130.0,48.0,0.001438,14.0,62.0,False
object_tracking-0000,object_tracking,cpu,3,25.0,25.0,37.0,75.0,12.0,0.000505,0.0,12.0,False
lane_detection-0000,lane_detection,npu,2,40.0,40.0,56.0,140.0,16.0,0.000447,0.0,16.0,False
object_tracking-0001,object_tracking,cpu,3,75.0,75.0,87.0,125.0,12.0,0.000514,0.0,12.0,False
object_detection-0001,object_detection,gpu,3,100.0,100.0,124.0,180.0,24.0,0.00043,0.0,24.0,False
object_tracking-0002,object_tracking,cpu,3,125.0,125.0,137.0,175.0,12.0,0.000289,0.0,12.0,False
lane_detection-0001,lane_detection,npu,2,140.0,140.0,156.0,240.0,16.0,0.000361,0.0,16.0,False
monocular_3d_detection-0001,monocular_3d_detection,gpu,4,160.0,160.0,208.0,280.0,48.0,0.00037,0.0,48.0,False
object_tracking-0003,object_tracking,cpu,3,175.0,175.0,187.0,225.0,12.0,0.000237,0.0,12.0,False
object_detection-0002,object_detection,gpu,3,200.0,208.0,232.0,280.0,24.0,0.000274,8.0,32.0,False
emergency_obstacle_detection-0000,emergency_obstacle_detection,npu,5,220.0,220.0,231.0,260.0,11.0,0.000393,0.0,11.0,False
object_tracking-0004,object_tracking,cpu,3,225.0,225.0,237.0,275.0,12.0,0.0003,0.0,12.0,False
lane_detection-0002,lane_detection,npu,2,240.0,240.0,256.0,340.0,16.0,0.000325,0.0,16.0,False
object_tracking-0005,object_tracking,cpu,3,275.0,275.0,287.0,325.0,12.0,0.000394,0.0,12.0,False
object_detection-0003,object_detection,gpu,3,300.0,300.0,324.0,380.0,24.0,0.000371,0.0,24.0,False
monocular_3d_detection-0002,monocular_3d_detection,gpu,4,310.0,324.0,372.0,430.0,48.0,0.000219,14.0,62.0,False
object_tracking-0006,object_tracking,cpu,3,325.0,325.0,337.0,375.0,12.0,0.000221,0.0,12.0,False
lane_detection-0003,lane_detection,npu,2,340.0,340.0,356.0,440.0,16.0,0.000369,0.0,16.0,False
object_tracking-0007,object_tracking,cpu,3,375.0,375.0,387.0,425.0,12.0,0.00026,0.0,12.0,False
object_detection-0004,object_detection,gpu,3,400.0,400.0,424.0,480.0,24.0,0.000263,0.0,24.0,False
object_tracking-0008,object_tracking,cpu,3,425.0,425.0,437.0,475.0,12.0,0.000378,0.0,12.0,False
lane_detection-0004,lane_detection,npu,2,440.0,440.0,456.0,540.0,16.0,0.000412,0.0,16.0,False
monocular_3d_detection-0003,monocular_3d_detection,gpu,4,460.0,460.0,508.0,580.0,48.0,0.000334,0.0,48.0,False
object_tracking-0009,object_tracking,cpu,3,475.0,475.0,487.0,525.0,12.0,0.000252,0.0,12.0,False
